日期,星期,品类,销量(杯/份),单价(元),销售额(元),当日原料成本(元)
2026-07-01,周三,美式,10,18,180,56.12
2026-07-01,周三,拿铁,14,22,308,100.29
2026-07-01,周三,燕麦拿铁,8,24,192,68.61
2026-07-01,周三,手冲单品,7,32,224,70.8
2026-07-01,周三,司康/甜品,10,15,150,46.81
2026-07-02,周四,美式,8,18,144,49.73
2026-07-02,周四,拿铁,12,22,264,85.51
2026-07-02,周四,燕麦拿铁,7,24,168,58.49
2026-07-02,周四,手冲单品,5,32,160,56.2
2026-07-02,周四,司康/甜品,13,15,195,60.54
2026-07-03,周五,美式,11,18,198,71.06
2026-07-03,周五,拿铁,14,22,308,98.83
2026-07-03,周五,燕麦拿铁,8,24,192,64.04
2026-07-03,周五,手冲单品,4,32,128,40.55
2026-07-03,周五,司康/甜品,13,15,195,68.69
2026-07-04,周六,美式,17,18,306,110.49
2026-07-04,周六,拿铁,25,22,550,207.96
2026-07-04,周六,燕麦拿铁,10,24,240,83.67
2026-07-04,周六,手冲单品,11,32,352,124.36
2026-07-04,周六,司康/甜品,20,15,300,105.12
2026-07-05,周日,美式,16,18,288,90.2
2026-07-05,周日,拿铁,21,22,462,152.58
2026-07-05,周日,燕麦拿铁,8,24,192,62.65
2026-07-05,周日,手冲单品,7,32,224,73.8
2026-07-05,周日,司康/甜品,18,15,270,90.6
2026-07-06,周一,美式,9,18,162,52.6
2026-07-06,周一,拿铁,14,22,308,115.67
2026-07-06,周一,燕麦拿铁,7,24,168,59.24
2026-07-06,周一,手冲单品,5,32,160,57.77
2026-07-06,周一,司康/甜品,9,15,135,45.44
2026-07-07,周二,美式,12,18,216,76.64
2026-07-07,周二,拿铁,16,22,352,125.99
2026-07-07,周二,燕麦拿铁,8,24,192,69.95
2026-07-07,周二,手冲单品,5,32,160,49.96
2026-07-07,周二,司康/甜品,10,15,150,49.31
2026-07-08,周三,美式,8,18,144,54.14
2026-07-08,周三,拿铁,19,22,418,138.79
2026-07-08,周三,燕麦拿铁,7,24,168,56.73
2026-07-08,周三,手冲单品,7,32,224,76.63
2026-07-08,周三,司康/甜品,9,15,135,44.18
2026-07-09,周四,美式,10,18,180,59.11
2026-07-09,周四,拿铁,17,22,374,139.45
2026-07-09,周四,燕麦拿铁,6,24,144,46.85
2026-07-09,周四,手冲单品,7,32,224,77.43
2026-07-09,周四,司康/甜品,8,15,120,37.6
2026-07-10,周五,美式,7,18,126,44.59
2026-07-10,周五,拿铁,18,22,396,134.46
2026-07-10,周五,燕麦拿铁,5,24,120,40.41
2026-07-10,周五,手冲单品,7,32,224,77.74
2026-07-10,周五,司康/甜品,14,15,210,77.75
2026-07-11,周六,美式,11,18,198,71.37
2026-07-11,周六,拿铁,27,22,594,206.47
2026-07-11,周六,燕麦拿铁,9,24,216,76.65
2026-07-11,周六,手冲单品,7,32,224,76.26
2026-07-11,周六,司康/甜品,17,15,255,96.08
2026-07-12,周日,美式,18,18,324,106.41
2026-07-12,周日,拿铁,25,22,550,177.38
2026-07-12,周日,燕麦拿铁,13,24,312,115.73
2026-07-12,周日,手冲单品,8,32,256,90.81
2026-07-12,周日,司康/甜品,18,15,270,86.59
2026-07-13,周一,美式,11,18,198,68.86
2026-07-13,周一,拿铁,18,22,396,137.46
2026-07-13,周一,燕麦拿铁,5,24,120,39.92
2026-07-13,周一,手冲单品,4,32,128,48.0
2026-07-13,周一,司康/甜品,13,15,195,71.8
2026-07-14,周二,美式,8,18,144,45.22
2026-07-14,周二,拿铁,19,22,418,157.29
2026-07-14,周二,燕麦拿铁,5,24,120,41.28
2026-07-14,周二,手冲单品,4,32,128,46.49
2026-07-14,周二,司康/甜品,12,15,180,57.42
2026-07-15,周三,美式,9,18,162,56.45
2026-07-15,周三,拿铁,14,22,308,114.29
2026-07-15,周三,燕麦拿铁,6,24,144,46.77
2026-07-15,周三,手冲单品,6,32,192,69.33
2026-07-15,周三,司康/甜品,9,15,135,44.8
2026-07-16,周四,美式,12,18,216,76.79
